CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.070.698/0001-11;2024-09-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;ITR;142992;2024-11-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142992
00.192.769/0001-59;2024-03-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;137397;2024-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137397
00.192.769/0001-59;2024-06-30;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;140411;2024-08-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140411
00.194.724/0001-13;2024-03-31;1;AUREN OPERAÇÕES S.A.;026174;ITR;136140;2024-05-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136140
00.194.724/0001-13;2024-06-30;1;AUREN OPERAÇÕES S.A.;026174;ITR;140343;2024-08-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140343
00.194.724/0001-13;2024-09-30;1;AUREN OPERAÇÕES S.A.;026174;ITR;142441;2024-10-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142441
00.242.184/0001-04;2024-03-31;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;ITR;136904;2024-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136904
00.242.184/0001-04;2024-03-31;2;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;ITR;136929;2024-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136929
00.242.184/0001-04;2024-06-30;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;ITR;140636;2024-08-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140636
00.242.184/0001-04;2024-09-30;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;ITR;142778;2024-11-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142778
00.272.185/0001-93;2024-03-31;1;CIMS S.A.;014818;ITR;137142;2024-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137142
00.272.185/0001-93;2024-06-30;1;CIMS S.A.;014818;ITR;140666;2024-08-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140666
00.272.185/0001-93;2024-09-30;1;CIMS S.A.;014818;ITR;143035;2024-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143035
00.336.701/0001-04;2024-03-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;137294;2024-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137294
00.336.701/0001-04;2024-06-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;140899;2024-08-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140899
00.336.701/0001-04;2024-09-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;142954;2024-11-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142954
00.357.038/0001-16;2024-03-31;1;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;027472;ITR;137070;2024-05-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137070
00.357.038/0001-16;2024-06-30;1;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;027472;ITR;140545;2024-08-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140545
00.357.038/0001-16;2024-09-30;1;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;027472;ITR;142659;2024-11-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142659
00.357.038/0001-16;2024-09-30;2;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;027472;ITR;142663;2024-11-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142663
00.359.742/0001-08;2024-03-31;1;FICTOR ALIMENTOS S.A.;015423;ITR;137504;2024-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137504
00.359.742/0001-08;2024-06-30;1;FICTOR ALIMENTOS S.A.;015423;ITR;140928;2024-08-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140928
00.359.742/0001-08;2024-09-30;1;FICTOR ALIMENTOS S.A.;015423;ITR;142822;2024-11-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142822
00.383.281/0001-09;2024-03-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;136814;2024-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136814
00.383.281/0001-09;2024-06-30;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;140859;2024-08-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140859
00.383.281/0001-09;2024-09-30;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;142845;2024-11-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142845
00.389.481/0001-79;2024-03-31;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;024880;ITR;136917;2024-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136917
00.389.481/0001-79;2024-03-31;2;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;024880;ITR;137613;2024-05-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137613
00.389.481/0001-79;2024-06-30;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;024880;ITR;141040;2024-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141040
00.389.481/0001-79;2024-09-30;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;024880;ITR;143268;2024-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143268
00.622.416/0001-41;2024-03-31;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;022594;ITR;136862;2024-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136862
00.622.416/0001-41;2024-06-30;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;022594;ITR;140727;2024-08-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140727
00.622.416/0001-41;2024-09-30;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;022594;ITR;142830;2024-11-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142830
00.644.907/0001-93;2024-03-31;1;INVESTCO S.A.;018589;ITR;136702;2024-05-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136702
00.644.907/0001-93;2024-06-30;1;INVESTCO S.A.;018589;ITR;139982;2024-07-29;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139982
00.644.907/0001-93;2024-09-30;1;INVESTCO S.A.;018589;ITR;142616;2024-11-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142616
00.743.065/0001-27;2024-03-31;1;LITEL PARTICIPACOES S.A.;015091;ITR;137255;2024-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137255
00.743.065/0001-27;2024-06-30;1;LITEL PARTICIPACOES S.A.;015091;ITR;140868;2024-08-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140868
00.743.065/0001-27;2024-09-30;1;LITEL PARTICIPACOES S.A.;015091;ITR;143038;2024-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143038
00.776.574/0001-56;2024-03-31;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;020990;ITR;141204;2024-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141204
00.776.574/0001-56;2024-06-30;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;020990;ITR;141205;2024-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141205
00.776.574/0001-56;2024-09-30;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;020990;ITR;143139;2024-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143139
00.864.214/0001-06;2024-03-31;1;ENERGISA S.A.;015253;ITR;136721;2024-05-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136721
00.864.214/0001-06;2024-03-31;2;ENERGISA S.A.;015253;ITR;136765;2024-05-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136765
00.864.214/0001-06;2024-03-31;3;ENERGISA S.A.;015253;ITR;139380;2024-07-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139380
00.864.214/0001-06;2024-03-31;4;ENERGISA S.A.;015253;ITR;141059;2024-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141059
00.864.214/0001-06;2024-06-30;1;ENERGISA S.A.;015253;ITR;140485;2024-08-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140485
00.864.214/0001-06;2024-06-30;2;ENERGISA S.A.;015253;ITR;140526;2024-08-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140526
00.864.214/0001-06;2024-09-30;1;ENERGISA S.A.;015253;ITR;142693;2024-11-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142693
00.864.214/0001-06;2024-09-30;2;ENERGISA S.A.;015253;ITR;143317;2024-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143317
00.873.894/0001-24;2024-03-31;1;LETS RENT A CAR S/A;027383;ITR;137487;2024-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137487
00.873.894/0001-24;2024-06-30;1;LETS RENT A CAR S/A;027383;ITR;140783;2024-08-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140783
00.873.894/0001-24;2024-09-30;1;LETS RENT A CAR S/A;027383;ITR;142948;2024-11-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142948
00.897.864/0001-58;2024-03-31;1;SANTA CATARINA PART INVEST SA;015199;ITR;137381;2024-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137381
00.897.864/0001-58;2024-06-30;1;SANTA CATARINA PART INVEST SA;015199;ITR;141151;2024-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141151
00.897.864/0001-58;2024-09-30;1;SANTA CATARINA PART INVEST SA;015199;ITR;142944;2024-11-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142944
00.924.429/0001-75;2024-03-31;1;FERROVIA CENTRO-ATLANTICA S.A.;015369;ITR;137100;2024-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137100
00.924.429/0001-75;2024-06-30;1;FERROVIA CENTRO-ATLANTICA S.A.;015369;ITR;140490;2024-08-07;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140490
00.924.429/0001-75;2024-09-30;1;FERROVIA CENTRO-ATLANTICA S.A.;015369;ITR;143077;2024-11-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143077
00.938.574/0001-05;2024-03-31;1;CONC RIO-TERESOPOLIS S.A.;019208;ITR;136198;2024-05-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136198
00.938.574/0001-05;2024-06-30;1;CONC RIO-TERESOPOLIS S.A.;019208;ITR;140386;2024-08-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140386
00.938.574/0001-05;2024-09-30;1;CONC RIO-TERESOPOLIS S.A.;019208;ITR;142488;2024-11-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142488
00.974.211/0001-25;2024-03-31;1;LINHA AMARELA S.A. - LAMSA;024937;ITR;136955;2024-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136955
00.974.211/0001-25;2024-06-30;1;LINHA AMARELA S.A. - LAMSA;024937;ITR;140722;2024-08-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140722
00.974.211/0001-25;2024-09-30;1;LINHA AMARELA S.A. - LAMSA;024937;ITR;142877;2024-11-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142877
00.979.969/0001-56;2024-03-31;1;CAIXA ADM DIV PUB ESTADUAL SA;015717;ITR;136220;2024-05-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=136220
00.979.969/0001-56;2024-06-30;1;CAIXA ADM DIV PUB ESTADUAL SA;015717;ITR;139686;2024-07-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139686
00.979.969/0001-56;2024-09-30;1;CAIXA ADM DIV PUB ESTADUAL SA;015717;ITR;142184;2024-10-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142184
01.027.058/0001-91;2024-03-31;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;021733;ITR;135959;2024-04-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135959
01.027.058/0001-91;2024-06-30;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;021733;ITR;140350;2024-08-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140350
01.027.058/0001-91;2024-09-30;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;021733;ITR;143270;2024-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143270
01.083.200/0001-18;2024-03-31;1;NEOENERGIA S.A.;015539;ITR;135866;2024-04-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=135866
01.083.200/0001-18;2024-03-31;2;NEOENERGIA S.A.;015539;ITR;139096;2024-06-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139096
01.083.200/0001-18;2024-06-30;1;NEOENERGIA S.A.;015539;ITR;139824;2024-07-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=139824
01.083.200/0001-18;2024-09-30;1;NEOENERGIA S.A.;015539;ITR;142285;2024-10-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142285
01.104.937/0001-70;2024-03-31;1;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;015784;ITR;137190;2024-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137190
01.104.937/0001-70;2024-06-30;1;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;015784;ITR;140897;2024-08-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140897
01.104.937/0001-70;2024-06-30;2;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;015784;ITR;140998;2024-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140998
01.104.937/0001-70;2024-09-30;1;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;015784;ITR;142621;2024-11-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142621
01.104.937/0001-70;2024-09-30;2;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;015784;ITR;142815;2024-11-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142815
01.107.327/0001-20;2024-03-31;1;BBM LOGÍSTICA S.A.;024660;ITR;137535;2024-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137535
01.258.944/0001-26;2024-03-31;1;RUMO MALHA SUL S.A.;015709;ITR;137341;2024-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137341
01.258.944/0001-26;2024-06-30;1;RUMO MALHA SUL S.A.;015709;ITR;141143;2024-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141143
01.258.944/0001-26;2024-06-30;2;RUMO MALHA SUL S.A.;015709;ITR;141545;2024-09-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=141545
01.258.944/0001-26;2024-09-30;1;RUMO MALHA SUL S.A.;015709;ITR;142987;2024-11-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=142987
01.319.044/0001-41;2024-03-31;1;WTC AMAZONAS SUITE HOTEL S.A.;015741;ITR;137430;2024-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137430
01.319.044/0001-41;2024-06-30;1;WTC AMAZONAS SUITE HOTEL S.A.;015741;ITR;140986;2024-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140986
