CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
00.776.574/0001-56;2024-09-30;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;200241909;0;200241909;74;0;74
00.864.214/0001-06;2024-03-31;4;ENERGISA S.A.;887231247;1402193416;2289424663;754475;3017900;3772375
00.864.214/0001-06;2024-06-30;2;ENERGISA S.A.;887231247;1402193416;2289424663;754475;3017900;3772375
00.864.214/0001-06;2024-09-30;2;ENERGISA S.A.;887231247;1402193416;2289424663;754475;3017900;3772375
00.873.894/0001-24;2024-03-31;1;LETS RENT A CAR S/A;578986;0;578986;0;0;0
00.873.894/0001-24;2024-06-30;1;LETS RENT A CAR S/A;578986;0;578986;0;0;0
00.873.894/0001-24;2024-09-30;1;LETS RENT A CAR S/A;578986;0;578986;0;0;0
00.897.864/0001-58;2024-03-31;1;SANTA CATARINA PART INVEST SA;200;0;200;0;0;0
00.897.864/0001-58;2024-06-30;1;SANTA CATARINA PART INVEST SA;200;0;200;0;0;0
00.897.864/0001-58;2024-09-30;1;SANTA CATARINA PART INVEST SA;200;0;200;0;0;0
00.924.429/0001-75;2024-03-31;1;FERROVIA CENTRO-ATLANTICA S.A.;142807784;19;142807803;0;0;0
00.924.429/0001-75;2024-06-30;1;FERROVIA CENTRO-ATLANTICA S.A.;142807784;19;142807803;0;0;0
00.924.429/0001-75;2024-09-30;1;FERROVIA CENTRO-ATLANTICA S.A.;142807784;19;142807803;0;0;0
00.938.574/0001-05;2024-03-31;1;CONC RIO-TERESOPOLIS S.A.;48786;37680;86466;0;0;0
00.938.574/0001-05;2024-06-30;1;CONC RIO-TERESOPOLIS S.A.;48786;37680;86466;0;0;0
00.938.574/0001-05;2024-09-30;1;CONC RIO-TERESOPOLIS S.A.;48786;37680;86466;0;0;0
00.974.211/0001-25;2024-03-31;1;LINHA AMARELA S.A. - LAMSA;70666879;141333771;212000650;0;0;0
00.974.211/0001-25;2024-06-30;1;LINHA AMARELA S.A. - LAMSA;70666879;141333771;212000650;0;0;0
00.974.211/0001-25;2024-09-30;1;LINHA AMARELA S.A. - LAMSA;70666879;141333771;212000650;0;0;0
00.979.969/0001-56;2024-03-31;1;CAIXA ADM DIV PUB ESTADUAL SA;2402611661;0;2402611661;0;0;0
00.979.969/0001-56;2024-06-30;1;CAIXA ADM DIV PUB ESTADUAL SA;2402611661;0;2402611661;0;0;0
00.979.969/0001-56;2024-09-30;1;CAIXA ADM DIV PUB ESTADUAL SA;2402611661;0;2402611661;0;0;0
01.027.058/0001-91;2024-03-31;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2716815061;0;2716815061;14192687;0;14192687
01.027.058/0001-91;2024-06-30;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2716815061;0;2716815061;14041724;0;14041724
01.027.058/0001-91;2024-09-30;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2668174120;0;2668174120;5842;0;5842
01.083.200/0001-18;2024-03-31;2;NEOENERGIA S.A.;1213156574;0;1213156574;640674;0;640674
01.083.200/0001-18;2024-06-30;1;NEOENERGIA S.A.;1213156574;0;1213156574;640674;0;640674
01.083.200/0001-18;2024-09-30;1;NEOENERGIA S.A.;1213156574;0;1213156574;640674;0;640674
01.104.937/0001-70;2024-03-31;1;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;11764889;0;11764889;0;0;0
01.104.937/0001-70;2024-06-30;2;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;11764889;0;11764889;0;0;0
01.104.937/0001-70;2024-09-30;2;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;11764889;0;11764889;0;0;0
01.107.327/0001-20;2024-03-31;1;BBM LOGÍSTICA S.A.;40760818;0;40760818;0;0;0
01.258.944/0001-26;2024-03-31;1;RUMO MALHA SUL S.A.;45088652104779;68597626645111;113686278749890;0;0;0
01.258.944/0001-26;2024-06-30;2;RUMO MALHA SUL S.A.;486445936413395;740076164875659;1226522101289054;0;0;0
01.258.944/0001-26;2024-09-30;1;RUMO MALHA SUL S.A.;315866393927623;480557389696029;796423783623652;0;0;0
01.319.044/0001-41;2024-03-31;1;WTC AMAZONAS SUITE HOTEL S.A.;100;0;100;0;0;0
01.319.044/0001-41;2024-06-30;1;WTC AMAZONAS SUITE HOTEL S.A.;100;0;100;0;0;0
01.319.044/0001-41;2024-09-30;1;WTC AMAZONAS SUITE HOTEL S.A.;100;0;100;0;0;0
01.417.222/0001-77;2024-03-31;1;MRS LOGISTICA S.A.;187210;150767;337977;0;0;0
01.417.222/0001-77;2024-06-30;1;MRS LOGISTICA S.A.;187210;150767;337977;0;0;0
01.417.222/0001-77;2024-09-30;1;MRS LOGISTICA S.A.;187210;150767;337977;0;0;0
01.543.032/0001-04;2024-03-31;1;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;283067254;0;283067254;0;0;0
01.543.032/0001-04;2024-06-30;1;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;283067254;0;283067254;0;0;0
01.543.032/0001-04;2024-09-30;2;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;283067254;0;283067254;0;0;0
01.545.826/0001-07;2024-03-31;1;GAFISA S.A.;69330;0;69330;33;0;33
01.545.826/0001-07;2024-06-30;1;GAFISA S.A.;89410;33;89443;0;0;0
01.545.826/0001-07;2024-09-30;1;GAFISA S.A.;115936;0;115936;32913;0;32913
01.548.981/0001-79;2024-03-31;1;INVESTIMENTOS BEMGE S.A.;792;1572;2364;0;0;0
01.548.981/0001-79;2024-06-30;1;INVESTIMENTOS BEMGE S.A.;792;1572;2364;0;0;0
01.548.981/0001-79;2024-09-30;1;INVESTIMENTOS BEMGE S.A.;792;1572;2364;0;0;0
01.599.101/0001-93;2024-03-31;1;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;389648916;0;389648916;0;0;0
01.599.101/0001-93;2024-06-30;1;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;20039539;0;20039539;0;0;0
01.599.101/0001-93;2024-09-30;1;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;22417664;0;22417664;0;0;0
01.616.929/0001-02;2024-03-31;1;SANEAMENTO DE GOIAS SA;1866906375;648639993;2515546368;0;0;0
01.616.929/0001-02;2024-06-30;1;SANEAMENTO DE GOIAS SA;1866906375;648639993;2515546368;0;0;0
01.616.929/0001-02;2024-09-30;1;SANEAMENTO DE GOIAS SA;1866906374;648639993;2515546367;0;0;0
01.637.895/0001-32;2024-03-31;1;VOTORANTIM CIMENTOS S.A.;9225042782;300571428;9525614210;0;0;0
01.637.895/0001-32;2024-06-30;1;VOTORANTIM CIMENTOS S.A.;9225042782;300571428;9525614210;0;0;0
01.637.895/0001-32;2024-09-30;2;VOTORANTIM CIMENTOS S.A.;9225042782;300571428;9525614210;0;0;0
01.838.723/0001-27;2024-03-31;1;BRF S.A.;1682473246;0;1682473246;14036779;0;14036779
01.838.723/0001-27;2024-06-30;1;BRF S.A.;1682473246;0;1682473246;23925871;0;23925871
01.838.723/0001-27;2024-09-30;1;BRF S.A.;1682473246;0;1682473246;44306771;0;44306771
01.851.771/0001-55;2024-03-31;1;524 PARTICIPACOES S.A.;4234183918;0;4234183918;0;0;0
01.851.771/0001-55;2024-06-30;1;524 PARTICIPACOES S.A.;10116536859;0;10116536859;0;0;0
01.851.771/0001-55;2024-09-30;1;524 PARTICIPACOES S.A.;10116536859;0;10116536859;0;0;0
01.896.779/0001-38;2024-03-31;1;CSU DIGITAL S.A.;41800000;0;41800000;544;0;544
01.896.779/0001-38;2024-06-30;1;CSU DIGITAL S.A.;41800;0;41800;522;0;522
01.896.779/0001-38;2024-09-30;1;CSU DIGITAL S.A.;41800;0;41800;519;0;519
01.917.818/0001-36;2024-03-31;1;LIGHT ENERGIA S.A.;77421581;0;77421581;0;0;0
01.917.818/0001-36;2024-06-30;1;LIGHT ENERGIA S.A.;77421581;0;77421581;0;0;0
01.917.818/0001-36;2024-09-30;1;LIGHT ENERGIA S.A.;77421581;0;77421581;0;0;0
01.938.783/0001-11;2024-03-31;1;CIA PARTICIPACOES ALIANCA DA BAHIA;9495733;9412283;18908016;0;0;0
01.938.783/0001-11;2024-06-30;1;CIA PARTICIPACOES ALIANCA DA BAHIA;9495733;9412283;18908016;0;0;0
01.938.783/0001-11;2024-09-30;1;CIA PARTICIPACOES ALIANCA DA BAHIA;9495733;9412283;18908016;0;0;0
01.957.772/0001-89;2024-03-31;2;SUL 116 PARTICIPACOES S.A.;83597;0;83597;0;0;0
01.957.772/0001-89;2024-06-30;3;SUL 116 PARTICIPACOES S.A.;83596903;0;83596903;0;0;0
01.957.772/0001-89;2024-09-30;2;SUL 116 PARTICIPACOES S.A.;83596903;0;83596903;0;0;0
01.968.293/0001-68;2024-03-31;1;ELETRORIVER S.A.;61659882;0;61659882;0;0;0
01.968.293/0001-68;2024-06-30;1;ELETRORIVER S.A.;61659882;0;61659882;0;0;0
01.968.293/0001-68;2024-09-30;1;ELETRORIVER S.A.;30829941;30829941;61659882;0;0;0
01.989.044/0001-59;2024-03-31;1;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;1000;0;1000;0;0;0
01.989.044/0001-59;2024-06-30;1;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;1000;0;1000;0;0;0
01.989.044/0001-59;2024-09-30;1;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;1000;0;1000;0;0;0
02.016.440/0001-62;2024-03-31;1;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;1125427;0;1125427;0;0;0
02.016.440/0001-62;2024-06-30;1;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;1125427;0;1125427;0;0;0
02.016.440/0001-62;2024-09-30;1;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;1125427;0;1125427;0;0;0
02.016.507/0001-69;2024-03-31;1;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;499362292202;0;499362292202;6540876;0;6540876
02.016.507/0001-69;2024-06-30;1;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;499362292202;0;499362292202;6540876;0;6540876
02.016.507/0001-69;2024-09-30;1;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;499362292202;0;499362292202;6540876;0;6540876
02.031.413/0001-69;2024-03-31;1;PETRO RIO JAGUAR PETRÓLEO S.A.;546165581900;0;546165581900;0;0;0
02.031.413/0001-69;2024-06-30;1;PETRO RIO JAGUAR PETRÓLEO S.A.;546165581900;0;546165581900;0;0;0
02.031.413/0001-69;2024-09-30;1;PETRO RIO JAGUAR PETRÓLEO S.A.;622676981900;0;622676981900;0;0;0
02.041.460/0001-93;2024-03-31;1;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;17905442370;0;17905442370;0;0;0
02.041.460/0001-93;2024-06-30;2;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;32872881;0;32872881;0;0;0
02.041.460/0001-93;2024-09-30;1;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;32872880971;0;32872880971;0;0;0
02.062.747/0001-08;2024-03-31;1;SUDESTE S.A.;7104910427101;0;7104910427101;0;0;0
02.062.747/0001-08;2024-06-30;2;SUDESTE S.A.;7513398999435;0;7513398999435;0;0;0
02.062.747/0001-08;2024-09-30;1;SUDESTE S.A.;7521985933556;0;7521985933556;0;0;0
02.149.205/0001-69;2024-03-31;1;PORTO SEGURO S.A.;646586;0;646586;4824;0;4824
02.149.205/0001-69;2024-06-30;2;PORTO SEGURO S.A.;646586060;0;646586060;4880128;0;4880128
02.149.205/0001-69;2024-09-30;1;PORTO SEGURO S.A.;646586;0;646586;4846;0;4846
02.162.616/0001-94;2024-03-31;1;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;52437;0;52437;0;0;0
02.162.616/0001-94;2024-06-30;1;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;52437;0;52437;0;0;0
02.162.616/0001-94;2024-09-30;1;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;52437;0;52437;0;0;0
02.193.750/0001-52;2024-03-31;1;DEXXOS PARTICIPAÇÕES S.A.;88241730;5771805;94013535;0;365381;365381
02.193.750/0001-52;2024-06-30;1;DEXXOS PARTICIPAÇÕES S.A.;103538833;5771805;109310638;0;365381;365381
02.193.750/0001-52;2024-09-30;1;DEXXOS PARTICIPAÇÕES S.A.;103538833;5771805;109310638;81;361279;361360
02.201.787/0001-85;2024-03-31;1;CEL PARTICIPAÇÕES S.A. - CELPAR;2609000;30;2609030;0;0;0
02.201.787/0001-85;2024-06-30;1;CEL PARTICIPAÇÕES S.A. - CELPAR;2609000;30;2609030;0;0;0
02.201.787/0001-85;2024-09-30;1;CEL PARTICIPAÇÕES S.A. - CELPAR;2609000;30;2609030;0;0;0
02.217.319/0001-07;2024-03-31;3;YBYRÁ CAPITAL S.A.;116574000;116574000;233148000;0;0;0
02.217.319/0001-07;2024-06-30;3;YBYRÁ CAPITAL S.A.;116754000;116574000;233328000;0;0;0
02.217.319/0001-07;2024-09-30;2;YBYRÁ CAPITAL S.A.;116574000;116574000;233148000;0;0;0
02.255.187/0001-08;2024-03-31;1;UNIFIQUE TELECOMUNICAÇÕES S.A.;362049609;0;362049609;9000041;0;9000041
02.255.187/0001-08;2024-06-30;1;UNIFIQUE TELECOMUNICAÇÕES S.A.;362049609;0;362049609;9000041;0;9000041
02.255.187/0001-08;2024-09-30;1;UNIFIQUE TELECOMUNICAÇÕES S.A.;362049609;0;362049609;9000041;0;9000041
02.258.422/0001-97;2024-03-31;1;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;66035;246386;312421;0;0;0
02.258.422/0001-97;2024-06-30;1;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;246386;66035;312421;0;0;0
02.258.422/0001-97;2024-09-30;1;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;66035;246386;312421;0;0;0
02.281.836/0001-37;2024-03-31;1;TRANSNORDESTINA LOGISTICA SA;28313622;27649471;55963093;0;0;0
02.281.836/0001-37;2024-06-30;1;TRANSNORDESTINA LOGISTICA SA;28313622;27649471;55963093;0;0;0
02.281.836/0001-37;2024-09-30;1;TRANSNORDESTINA LOGISTICA SA;28313622;27649471;55963093;0;0;0
02.286.479/0001-08;2024-03-31;1;LOCALIZA FLEET S.A.;359040238;0;359040238;0;0;0
02.286.479/0001-08;2024-06-30;1;LOCALIZA FLEET S.A.;359040238;0;359040238;0;0;0
02.286.479/0001-08;2024-09-30;1;LOCALIZA FLEET S.A.;445098758;0;445098758;0;0;0
02.291.077/0001-93;2024-03-31;2;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;100;0;100;0;0;0
02.291.077/0001-93;2024-06-30;1;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;100;0;100;0;0;0
02.291.077/0001-93;2024-09-30;1;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;100;0;100;0;0;0
02.302.100/0001-06;2024-03-31;1;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;39091735;0;39091735;0;0;0
02.302.100/0001-06;2024-06-30;1;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;39091735;0;39091735;0;0;0
02.302.100/0001-06;2024-09-30;1;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;39091735;0;39091735;0;0;0
02.302.101/0001-42;2024-03-31;1;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;14705;22242;36947;0;0;0
02.302.101/0001-42;2024-06-30;1;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;14705;22242;36947;0;0;0
02.302.101/0001-42;2024-09-30;1;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;14705;22242;36947;0;0;0
02.328.280/0001-97;2024-03-31;1;ELEKTRO REDES S.A.;91881;101878;193759;0;0;0
02.328.280/0001-97;2024-06-30;1;ELEKTRO REDES S.A.;91881;101878;193759;0;0;0
02.328.280/0001-97;2024-09-30;1;ELEKTRO REDES S.A.;91881;101878;193759;0;0;0
02.338.534/0001-58;2024-03-31;1;LONGDIS S.A.;4849892;0;4849892;0;0;0
02.338.534/0001-58;2024-06-30;1;LONGDIS S.A.;10764414;0;10764414;0;0;0
02.338.534/0001-58;2024-09-30;1;LONGDIS S.A.;11035292;0;11035292;0;0;0
02.351.144/0001-18;2024-03-31;1;TEGMA GESTAO LOGISTICA S.A.;66002915;0;66002915;65143;0;65143
02.351.144/0001-18;2024-06-30;1;TEGMA GESTAO LOGISTICA S.A.;66002915;0;66002915;65143;0;65143
02.351.144/0001-18;2024-09-30;1;TEGMA GESTAO LOGISTICA S.A.;66002915;0;66002915;65143;0;65143
02.351.877/0001-52;2024-03-31;1;LWSA S/A;596886478;0;596886478;7978472;0;7978472
02.351.877/0001-52;2024-06-30;1;LWSA S/A;596886478;0;596886478;15206972;0;15206972
02.351.877/0001-52;2024-09-30;1;LWSA S/A;596886478;0;596886478;38561196;0;38561196
02.357.251/0001-53;2024-03-31;1;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;2576438;0;2576438;0;0;0
02.357.251/0001-53;2024-06-30;1;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;2576438;2576438;5152876;0;0;0
02.357.251/0001-53;2024-09-30;1;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;2576438;0;2576438;0;0;0
02.365.069/0001-44;2024-03-31;1;PADTEC HOLDING S.A.;79214664;0;79214664;0;0;0
02.365.069/0001-44;2024-06-30;1;PADTEC HOLDING S.A.;79469626;0;79469626;0;0;0
02.365.069/0001-44;2024-09-30;1;PADTEC HOLDING S.A.;79469626;0;79469626;0;0;0
02.382.073/0001-10;2024-03-31;1;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;342985643;0;342985643;0;0;0
02.382.073/0001-10;2024-06-30;1;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;342985643;0;342985643;0;0;0
02.382.073/0001-10;2024-09-30;1;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;342985643;0;342985643;0;0;0
02.387.241/0001-60;2024-03-31;1;RUMO S.A.;1854868949;0;1854868949;5355282;0;5355282
02.387.241/0001-60;2024-06-30;1;RUMO S.A.;1854868949;0;1854868949;4956198;0;4956198
02.387.241/0001-60;2024-09-30;1;RUMO S.A.;1854868949;0;1854868949;4201603;0;4201603
02.397.080/0001-96;2024-03-31;1;ITAPEBI GERACAO DE ENERGIA S.A.;85060;0;85060;0;0;0
02.397.080/0001-96;2024-06-30;1;ITAPEBI GERACAO DE ENERGIA S.A.;85060;0;85060;0;0;0
02.397.080/0001-96;2024-09-30;1;ITAPEBI GERACAO DE ENERGIA S.A.;85060;0;85060;0;0;0
02.421.421/0001-11;2024-03-31;1;TIM S.A.;2420804398;0;2420804398;555362;0;555362
02.421.421/0001-11;2024-06-30;1;TIM S.A.;2420804398;0;2420804398;2799762;0;2799762
02.421.421/0001-11;2024-09-30;1;TIM S.A.;2420804398;0;2420804398;393762;0;393762
02.429.144/0001-93;2024-03-31;1;CPFL ENERGIA S.A.;1152254440;0;1152254440;0;0;0
02.429.144/0001-93;2024-06-30;1;CPFL ENERGIA S.A.;1152254440;0;1152254440;0;0;0
02.429.144/0001-93;2024-09-30;1;CPFL ENERGIA S.A.;1152254440;0;1152254440;0;0;0
02.451.848/0001-62;2024-03-31;1;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;175000000;0;175000000;0;0;0
02.451.848/0001-62;2024-06-30;1;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;175000000;0;175000000;0;0;0
02.451.848/0001-62;2024-09-30;1;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;175000000;0;175000000;0;0;0
02.474.103/0001-19;2024-03-31;1;ENGIE BRASIL ENERGIA S.A.;815927740;0;815927740;0;0;0
02.474.103/0001-19;2024-06-30;1;ENGIE BRASIL ENERGIA S.A.;815927740;0;815927740;0;0;0
02.474.103/0001-19;2024-09-30;1;ENGIE BRASIL ENERGIA S.A.;815927740;0;815927740;0;0;0
02.502.844/0001-66;2024-03-31;1;RUMO MALHA PAULISTA S.A.;1766438661417;3266355797112;5032794458529;0;0;0
02.502.844/0001-66;2024-06-30;2;RUMO MALHA PAULISTA S.A.;3389672517622;6267908826998;9657581344620;0;0;0
02.502.844/0001-66;2024-09-30;1;RUMO MALHA PAULISTA S.A.;3389672517622;6267908826998;9657581344620;0;0;0
02.509.491/0001-26;2024-03-31;1;CONC ECOVIAS IMIGRANTES S.A.;262452;0;262452;0;0;0
02.509.491/0001-26;2024-06-30;1;CONC ECOVIAS IMIGRANTES S.A.;262452;0;262452;0;0;0
